article;list_price;buying_price
149509212R;110.90;86.28
149509484R;123.40;96.01
149509765R;123.40;96.01
149520160R;29.33;23.96
149520373R;57.42;46.91
149520734R;57.42;46.91
149521034R;27.18;21.15
149523014R;57.42;46.91
149523490R;48.82;39.89
149523561R;5.04;4.12
149524183R;48.82;39.89
149524990R;48.82;39.89
149525885R;110.46;90.25
149528398R;32.51;26.56
149528863R;48.82;39.89
149528942R;98.86;80.77
149529053R;40.97;33.47
149529528R;32.43;26.50
149529640R;50.84;41.54
149529857R;38.20;31.21
149538885R;123.40;96.01
149558J10A;94.02;54.53
14956AD20A;269.21;156.14
149561858R;191.90;111.30
149564959R;128.82;74.72
149566215R;128.82;74.72
149566740R;128.82;74.72
149567084R;191.90;111.30
149567097R;128.82;74.72
149568021R;128.82;74.72
149570106R;24.45;19.98
149572548R;43.08;35.20
149573221R;26.77;21.87
149579453R;54.13;44.22
150957860R;3.97;3.24
15208ED50A;34.33;13.05
152080021R;156.50;59.47
152081008R;109.09;41.45
152081926R;170.69;64.86
152082327R;19.32;7.34
152084282R;18.69;7.10
152084648R;158.81;60.35
152085078R;314.49;119.51
152085488R;18.69;7.10
152085739R;18.69;7.10
152085758R;18.69;7.10
152085827R;18.69;7.10
152085948R;158.81;60.35
152089F60A;18.69;7.10
152089599R;18.69;7.10
152092567R;18.39;6.99
152092962R;18.69;7.10
152093920R;18.69;7.10
152095084R;18.69;7.10
152096030R;55.29;21.01
152098580R;18.69;7.10
152099198R;18.69;7.10
152410088R;128.82;74.72
152415445R;128.82;74.72
152417113R;128.82;74.72
152417599R;191.90;111.30
152419445R;120.87;70.10
161A01874R;250.08;145.05
161A03415R;235.82;136.78
161A05457R;357.63;207.43
161A06251R;475.65;275.88
161A07304R;239.41;138.86
161A09287R;206.34;119.68
161A09770R;161.84;93.87
161A09794R;188.73;109.46
161191KA1B;456.72;264.90
161191TT0A;472.07;273.80
161194PM0A;393.40;228.17
161200428R;322.52;187.06
161201190R;572.22;331.89
161203209R;354.05;205.35
161203912R;354.05;205.35
161204132R;321.87;186.68
161206038R;389.82;226.10
161206308R;354.05;205.35
161206381R;393.40;228.17
161207557R;354.05;205.35
161207645R;472.07;273.80
161208350R;389.82;226.10
161208729R;321.87;186.68
161209599R;393.40;228.17
161269094R;9.28;7.58
161756275R;34.55;20.04
163061690R;86.56;70.72
164A0HV80A;92.03;39.94
16400JY00C;95.97;41.65
16400JY00D;165.80;71.96
164000637R;92.03;39.94
164000862R;92.03;39.94
164000884R;92.03;39.94
164000890R;95.97;41.65
164001137R;92.03;39.94
164001540R;95.97;41.65
164002137R;95.97;41.65
164003978R;95.97;41.65
164004303R;95.97;41.65
164004350R;122.86;53.32
164004395R;92.03;39.94
164004721R;119.49;51.86
164005190R;95.97;41.65
164005420R;91.60;39.75
164006435R;92.03;39.94
164008737R;92.03;39.94
164008816R;100.96;43.82
164009384R;92.03;39.94
164009757R;106.36;46.16
164009963R;124.33;53.96
164031581R;34.88;15.49
164033036R;38.57;17.13
164033052R;38.57;17.13
164038513R;38.57;17.13
16500HV80A;108.52;41.67
165000571R;97.19;37.32
165001258R;191.41;73.50
165001429R;109.22;41.94
165002896R;152.02;58.38
165003077R;104.93;40.29
165003255R;91.21;35.02
165003282R;222.95;85.61
165003299R;109.22;41.94
165003342R;91.21;35.02
165004BD1C;152.02;58.38
165004EA0C;123.86;47.56
165004EB0C;123.86;47.56
165004JA1B;197.90;75.99
165004357R;222.95;85.61
165005526R;123.86;47.56
165006UB0A;126.60;48.61
165006196R;123.86;47.56
165006427R;125.93;48.36
165006907R;161.92;62.18
165007FY0A;247.72;95.12
165007121R;126.60;48.61
165007940R;222.95;85.61
165008308R;123.86;47.56
165008632R;152.02;58.38
165008735R;191.41;73.50
165009775R;91.21;35.02
165385971R;10.52;8.59
16546HV80A;33.24;13.30
165460279R;33.24;13.30
165460392R;33.24;13.30
165460509R;33.24;13.30
165460588R;33.24;13.30
165460635R;33.24;13.30
165460835R;49.85;19.94
165461599R;33.24;13.30
165462604R;49.85;19.94
165462862R;33.24;13.30
1654630P00;33.24;13.30
165463205R;33.24;13.30
165463389R;39.63;15.85
165463650R;33.24;13.30
165463884R;33.24;13.30
165464BD0C;33.24;13.30
165464BE0D;33.24;13.30
165464EA0C;33.24;13.30
165464JA1B;33.24;13.30
165464PM0A;33.24;13.30
165464018R;33.24;13.30
165464064R;33.24;13.30
165464240R;47.84;19.14
165464407R;49.85;19.94
165464603R;33.24;13.30
165464877R;33.24;13.30
165465FN1A;33.24;13.30
165465086R;33.24;13.30
165465155R;33.24;13.30
165465171R;49.85;19.94
165465647R;33.24;13.30
165466RA0A;32.75;13.10
165466VB0A;33.24;13.30
165466131R;33.24;13.30
165466161R;33.24;13.30
165466515R;33.24;13.30
165466859R;33.24;13.30
165466878R;33.24;13.30
165467FV0A;33.24;13.30
165467033R;33.24;13.30
165467035R;31.15;12.46
165467674R;33.24;13.30
165467751R;33.24;13.30
165467753R;33.24;13.30
165467860R;33.24;13.30
165468199R;29.17;11.67
165468296R;33.24;13.30
165468470R;33.24;13.30
165468957R;33.24;13.30
165469029R;33.24;13.30
165469040R;33.24;13.30
165469229R;36.53;14.61
165469466R;33.24;13.30
165469490R;33.24;13.30
165527FV0A;83.25;45.79
16554BD70B;83.24;45.78
16554HV80A;83.24;45.78
165540329R;55.40;30.47
165544BD0A;83.24;45.78
165544BE1D;83.24;45.78
165544EA0A;83.24;45.78
165544EA1D;83.24;45.78
165544EB0A;83.24;45.78
165544EB1D;83.24;45.78
165544ED0A;83.24;45.78
165544ED0B;83.24;45.78
165544ED0D;77.27;42.50
165544MS0A;106.07;58.34
165546UB0A;83.24;45.78
165547FV0B;83.24;45.78
165550670R;83.24;45.78
165550842R;83.24;45.78
165550972R;83.24;45.78
165551188R;277.45;152.60
165551527R;83.24;45.78
165552590R;83.24;45.78
165553524R;83.24;45.78
165553843R;100.92;55.51
165553919R;83.24;45.78
165554107R;83.24;45.78
165554494R;83.24;45.78
165554822R;75.27;41.40
165554949R;277.45;152.60
165555446R;277.45;152.60
165555514R;83.24;45.78
165555731R;83.24;45.78
165555736R;83.25;45.79
165555837R;122.10;67.16
165555943R;83.25;45.79
165556458R;83.24;45.78
165556525R;83.24;45.78
165556691R;79.48;43.71
165556763R;77.27;42.50
165557673R;277.45;152.60
165557838R;83.24;45.78
165558180R;78.84;43.36
165558300R;83.25;45.79
165558534R;83.24;45.78
165558706R;81.01;44.56
165558896R;83.24;45.78
165559303R;83.24;45.78
165559608R;83.25;45.79
165562423R;277.45;152.60
165571389R;43.41;35.47
165571618R;39.71;17.63
165576N200;11.45;9.35
165735818R;24.20;19.77
165750686R;83.24;45.78
165750995R;83.24;45.78
165751903R;83.24;45.78
165752086R;83.24;45.78
165752306R;83.24;45.78
165752889R;83.24;45.78
165754646R;277.45;152.60
165754973R;83.25;45.79
165755972R;83.24;45.78
165756319R;83.24;45.78
165757409R;220.22;121.12
165758306R;208.78;114.83
165758477R;83.24;45.78
165758885R;83.24;45.78
165758920R;83.24;45.78
165759182R;277.45;152.60
165759231R;136.44;75.04
165759590R;83.25;45.79
16576JG71A;83.25;45.79
16576JY20B;83.24;45.78
165760255R;83.24;45.78
165760960R;63.01;34.66
165761098R;83.24;45.78
165761844R;154.85;85.17
165761904R;83.24;45.78
165762274R;541.93;298.06
165762992R;83.24;45.78
165763262R;157.89;86.84
165763328R;83.24;45.78
165763616R;83.24;45.78
165763705R;90.05;49.53
165764BD0C;302.77;166.52
165764EB0B;83.24;45.78
165764JA1A;83.25;45.79
165764PA0A;84.92;46.71
165764382R;83.24;45.78
165764620R;126.57;69.61
