article;list_price;buying_price;buying_price_self;discount;discount_self;description;weight;DLNR
623106784R;174.52;142.58;126.35;18.3;27.6;FRONTGRILL   7C55;2120;7455
623106923R;92.68;75.72;67.10;18.3;27.6;FRONTGRILL   DH55;1291;7455
623106926R;240.37;196.38;174.03;18.3;27.6;GRILL        7A55;2580;7455
623107116R;143.60;117.32;103.97;18.3;27.6;FRONTGRILL   YM55;2370;7455
623107151R;144.80;118.30;104.84;18.3;27.6;GRILL        7P55;1110;7455
623107266R;168.00;137.26;121.63;18.3;27.6;FRONTGRILL   QN55;3500;7455
623107359R;101.05;82.56;73.16;18.3;27.6;FRONTGRILL   DQ55;1500;7455
623107373R;138.60;113.24;100.35;18.3;27.6;KUEHLERGRILL DK55;2850;7455
623107457R;134.61;109.98;97.46;18.3;27.6;FRONTGRILL   DE55;3430;7455
623107458R;38.00;31.05;27.51;18.3;27.6;GRILL        DI55;1660;7455
623107461R;101.05;82.56;73.16;18.3;27.6;GRILL        DQ55;1450;7455
623107535R;142.41;116.35;103.10;18.3;27.6;FRONTGRILL   7A55;290;7455
623107539R;240.59;196.56;174.19;18.3;27.6;FRONTGRILL   5A55;1000;7455
623107554R;124.45;101.68;90.10;18.3;27.6;FRONTGRILL   DH55;1550;7455
623107630R;146.69;119.85;106.20;18.3;27.6;FRONTGRILL   DQ55;2730;7455
623107908R;142.41;116.35;103.10;18.3;27.6;GRILL        JK55;900;7455
623107939R;99.32;81.14;71.91;18.3;27.6;GRILL        4A55;640;7455
623108014R;145.71;119.05;105.49;18.3;27.6;FRONTGRILL   RA55;805;7455
623108039R;142.41;116.35;103.10;18.3;27.6;GRILL        7A55;1640;7455
623108072R;124.63;101.82;90.23;18.3;27.6;FRONTGRILL   DH55;1550;7455
623108093R;179.90;146.98;130.25;18.3;27.6;GRILL        5K55;1300;7455
623108140R;270.41;220.92;195.78;18.3;27.6;GRILL        TT55;1200;7455
623108334R;99.32;81.14;71.91;18.3;27.6;FRONTGRILL   4A55;650;7455
623108367R;101.72;83.11;73.65;18.3;27.6;FRONTGRILL   DK55;2065;7455
623108469R;115.95;94.73;83.95;18.3;27.6;GRILLEINSATZ FA55;620;7455
623108484R;92.68;75.72;67.10;18.3;27.6;FRONTGRILL   DH55;1447;7455
623108673R;143.60;117.32;103.97;18.3;27.6;FRONTGRILL   YM55;2160;7455
623108789R;147.18;120.25;106.56;18.3;27.6;VERKLEIDUNG  5A55;169;7455
623108912R;240.37;196.38;174.03;18.3;27.6;GRILL        QN55;3120;7455
623109004R;403.57;329.72;292.18;18.3;27.6;FRONTGRILL   4A35;4850;7455
623109221R;403.13;329.36;291.87;18.3;27.6;FRONTGRILL   YM55;2800;7455
623109306R;384.08;313.79;278.07;18.3;27.6;FRONTGRILL   TT55;2925;7455
623109628R;130.11;106.30;94.20;18.3;27.6;GRILL        DN55;1099;7455
623109659R;130.11;106.30;94.20;18.3;27.6;GRILL        DN55;1190;7455
623109707R;117.54;96.03;85.10;18.3;27.6;GRILL        CJ55;920;7455
623109870R;125.65;102.66;90.97;18.3;27.6;GRILL        DI55;1720;7455
623109985R;144.80;118.30;104.84;18.3;27.6;GRILL        7A55;1000;7455
623124331R;99.32;81.14;71.91;18.3;27.6;FRONTGRILL   4A55;550;7455
623225JH0A;173.05;141.38;125.29;18.3;27.6;FRONTGRILL   5Q55;500;7455
623325JH0A;173.05;141.38;125.29;18.3;27.6;FRONTGRILL LI5Q55;500;7455
623820314R;178.50;145.83;129.23;18.3;27.6;FRONTGRILL   JA55;710;7455
623828389R;181.72;148.47;131.57;18.3;27.6;FRONTGRILL   DE55;1200;7455
623829154R;178.50;145.83;129.23;18.3;27.6;ZIERBLENDE   JA55;780;7455
623829911R;178.50;145.83;129.23;18.3;27.6;ZIERBLENDE   JA55;360;7455
623841662R;79.69;65.11;57.70;18.3;27.6;STOSSFAENGER PA56;50;7455
623846956R;79.71;65.12;57.71;18.3;27.6;STOSSFAENGER 7A55;90;7455
623860532R;101.25;82.72;73.31;18.3;27.6;FRONTGRILL   EA57;1050;7455
623925818R;128.71;105.16;93.19;18.3;27.6;ABDECKUNG    QQ55;955;7455
625B52601R;5.89;4.81;4.25;18.3;27.9;HALTER       5A42;140;7455
625C20096R;9.05;7.39;6.53;18.3;27.9;HALTER       CN42;90;7455
625F20026R;38.61;31.54;27.84;18.3;27.9;HALTER       4A46;248;7455
625F24015R;48.82;39.89;35.20;18.3;27.9;HALTER       DO41;540;7455
625F24806R;57.42;46.91;41.40;18.3;27.9;HALTER       DO41;860;7455
625F32453R;38.61;31.54;27.84;18.3;27.9;HALTER       TP46;230;7455
625M80012R;62.25;50.86;44.88;18.3;27.9;HALTER       XU91;640;7455
625M83489R;57.42;46.91;41.40;18.3;27.9;HALTER       YU91;340;7455
625M85189R;86.64;70.78;62.47;18.3;27.9;HALTER       YM42;340;7455
625M96676R;57.42;46.91;41.40;18.3;27.9;HALTER       YU91;350;7455
625M96819R;86.64;70.78;62.47;18.3;27.9;HALTER       YT42;260;7455
625N05229R;39.38;32.17;28.39;18.3;27.9;HALTER       YU41;150;7455
625000059R;440.65;228.70;180.23;48.1;59.1;KUEHLERRAHMENCN42;8820;7455
